"x","y"
796487.988829064,1196616.55199808
796846.618920377,1196585.17593069
795062.184038087,1196841.67573745
795420.8141294,1196810.29967006
795779.444220713,1196778.92360267
796138.074312026,1196747.54753528
796855.334494652,1196684.7954005
798648.484951217,1196527.91506355
799007.11504253,1196496.53899616
795429.529703674,1196909.91913987
795788.159794987,1196878.54307248
796146.7898863,1196847.16700509
796864.050068926,1196784.41487031
798657.200525492,1196627.53453336
799015.830616805,1196596.15846597
794720.985095323,1197072.29074445
795079.615186636,1197040.91467706
795438.245277949,1197009.53860967
795796.875369262,1196978.16254228
796155.505460575,1196946.7864749
796514.135551888,1196915.41040751
796872.765643201,1196884.03434012
798307.286008453,1196758.53007056
798665.916099766,1196727.15400317
799024.546191079,1196695.77793578
794729.700669598,1197171.91021426
795088.330760911,1197140.53414687
796164.22103485,1197046.40594471
796522.851126163,1197015.02987732
799033.261765354,1196795.39740559
794738.416243873,1197271.52968407
795097.046335186,1197240.15361668
795455.676426499,1197208.77754929
795814.306517812,1197177.4014819
796531.566700438,1197114.64934713
796890.196791751,1197083.27327974
799041.977339629,1196895.0168754
795105.76190946,1197339.77308649
795464.392000773,1197308.3970191
795823.022092086,1197277.02095171
796540.282274712,1197214.26881693
796898.912366025,1197182.89274955
798333.432731278,1197057.38847999
798692.062822591,1197026.0124126
799050.692913904,1196994.63634521
795114.477483735,1197439.3925563
795473.107575048,1197408.01648891
795831.737666361,1197376.64042152
796190.367757674,1197345.26435413
796548.997848987,1197313.88828674
796907.6279403,1197282.51221935
798700.778396865,1197125.63188241
799059.408488178,1197094.25581502
795840.453240636,1197476.25989133
796199.083331949,1197444.88382394
796916.343514575,1197382.13168916
798709.49397114,1197225.25135222
799068.124062453,1197193.87528483
795490.538723598,1197607.25542853
795849.168814911,1197575.87936114
796207.798906224,1197544.50329375
796566.428997537,1197513.12722636
796925.05908885,1197481.75115897
798000.949362789,1197387.62295681
798718.209545415,1197324.87082203
799076.839636728,1197293.49475464
796216.514480499,1197644.12276356
796575.144571812,1197612.74669617
796933.774663125,1197581.37062878
798726.92511969,1197424.49029184
799085.555211003,1197393.11422445
795149.339780834,1197837.87043554
795507.969872147,1197806.49436815
796225.230054773,1197743.74223337
796583.860146086,1197712.36616598
796942.490237399,1197680.99009859
798018.380511338,1197586.86189642
799094.270785277,1197492.73369426
795516.685446422,1197906.11383796
795875.315537735,1197874.73777057
796592.575720361,1197811.98563579
796951.205811674,1197780.6095684
798027.096085613,1197686.48136623
798744.356268239,1197623.72923145
799102.986359552,1197592.35316407
795525.401020697,1198005.73330777
795884.03111201,1197974.35724038
796242.661203323,1197942.98117299
796601.291294636,1197911.6051056
796959.921385949,1197880.22903821
798035.811659888,1197786.10083604
798753.071842514,1197723.34870126
799111.701933827,1197691.97263387
795534.116594972,1198105.35277758
795892.746686285,1198073.97671019
796251.376777598,1198042.6006428
796610.006868911,1198011.22457541
796968.636960224,1197979.84850802
798403.157325476,1197854.34423846
798761.787416789,1197822.96817107
799120.417508102,1197791.59210368
795184.202077933,1198236.34831477
795542.832169246,1198204.97224738
795901.462260559,1198173.59618
796260.092351872,1198142.22011261
796618.722443185,1198110.84404522
796977.352534498,1198079.46797783
798770.502991064,1197922.58764088
799129.133082377,1197891.21157349
795551.547743521,1198304.59171719
795910.177834834,1198273.2156498
796268.807926147,1198241.83958242
796627.43801746,1198210.46351503
796986.068108773,1198179.08744764
795560.263317796,1198404.211187
795918.893409109,1198372.83511961
796277.523500422,1198341.45905222
796636.153591735,1198310.08298484
796994.783683048,1198278.70691745
798070.673956987,1198184.57871528
795210.348800758,1198535.2067242
795927.608983384,1198472.45458942
796286.239074697,1198441.07852203
796644.86916601,1198409.70245464
797003.499257323,1198378.32638726
799155.279805201,1198190.06998292
795936.324557658,1198572.07405923
796294.954648971,1198540.69799184
797012.214831597,1198477.94585706
798088.105105537,1198383.8176549
798805.365288163,1198321.06552012
799163.995379476,1198289.68945273
795945.040131933,1198671.69352904
796303.670223246,1198640.31746165
796662.300314559,1198608.94139426
797020.930405872,1198577.56532687
798096.820679811,1198483.43712471
799172.71095375,1198389.30892254
795953.755706208,1198771.31299885
796312.385797521,1198739.93693146
796671.015888834,1198708.56086407
798105.536254086,1198583.05659452
798464.166345399,1198551.68052713
799181.426528025,1198488.92839235
795245.211097857,1198933.68460344
795603.84118917,1198902.30853605
795962.471280483,1198870.93246866
796321.101371796,1198839.55640127
796679.731463109,1198808.18033388
797038.361554422,1198776.80426649
798114.251828361,1198682.67606432
799190.1421023,1198588.54786216
795612.556763444,1199001.92800586
795971.186854757,1198970.55193847
796688.447037383,1198907.79980369
797047.077128696,1198876.4237363
798122.967402636,1198782.29553413
798481.597493949,1198750.91946674
795979.902429032,1199070.17140828
796697.162611658,1199007.4192735
797055.792702971,1198976.04320611
797773.052885597,1198913.29107133
798131.68297691,1198881.91500394
798848.943159536,1198819.16286916
795988.618003307,1199169.79087809
796347.24809462,1199138.4148107
797064.508277246,1199075.66267592
797781.768459872,1199012.91054114
799216.288825124,1198887.40627158
795638.703486269,1199300.78641529
795997.333577582,1199269.4103479
796355.963668895,1199238.03428051
797073.223851521,1199175.28214573
797790.484034147,1199112.53001095
798149.11412546,1199081.15394356
799225.004399399,1198987.02574139
795647.419060543,1199400.40588509
796006.049151856,1199369.02981771
796364.679243169,1199337.65375032
796723.309334483,1199306.27768293
797799.199608422,1199212.14948076
798157.829699735,1199180.77341337
798875.089882361,1199118.02127859
799233.719973674,1199086.6452112
795297.504543505,1199531.40142229
796373.394817444,1199437.27322013
796732.024908757,1199405.89715274
797090.65500007,1199374.52108535
797807.915182696,1199311.76895057
798166.545274009,1199280.39288318
798525.175365323,1199249.01681579
799242.435547948,1199186.26468101
795306.22011778,1199631.0208921
796382.110391719,1199536.89268993
796740.740483032,1199505.51662255
797099.370574345,1199474.14055516
797458.000665658,1199442.76448777
797816.630756971,1199411.38842038
798175.260848284,1199380.01235299
799251.151122223,1199285.88415082
796032.195874681,1199667.88822713
796749.456057307,1199605.13609235
797108.08614862,1199573.76002497
797466.716239933,1199542.38395758
797825.346331246,1199511.00789019
798183.976422559,1199479.6318228
798542.606513872,1199448.25575541
798901.236605185,1199416.87968802
799259.866696498,1199385.50362063
796040.911448956,1199767.50769694
796758.171631582,1199704.75556216
797116.801722895,1199673.37949477
797475.431814208,1199642.00342739
797834.061905521,1199610.62736
799268.582270773,1199485.12309044
795332.366840604,1199929.87930153
796049.62702323,1199867.12716675
796408.257114543,1199835.75109936
796766.887205856,1199804.37503197
797125.517297169,1199772.99896458
797484.147388482,1199741.62289719
797842.777479796,1199710.24682981
799277.297845048,1199584.74256025
795341.082414879,1200029.49877134
796058.342597505,1199966.74663656
796416.972688818,1199935.37056917
796775.602780131,1199903.99450178
797134.232871444,1199872.61843439
797492.862962757,1199841.242367
797851.49305407,1199809.86629961
798210.123145383,1199778.49023223
799286.013419322,1199684.36203006
796067.05817178,1200066.36610637
796425.688263093,1200034.99003898
796784.318354406,1200003.61397159
797142.948445719,1199972.2379042
797860.208628345,1199909.48576942
798218.838719658,1199878.10970203
798936.098902284,1199815.35756726
799294.728993597,1199783.98149987
