x,y,Predictions
793874.89597908,1187784.47540356,7.89377897724108e-06
793874.89597908,1187572.43737579,1.12126892190156e-05
793874.89597908,1187466.4183619,1.31168044643409e-05
793874.89597908,1187360.39934802,1.51530697287768e-05
793874.89597908,1187307.38984108,1.62102775935121e-05
793874.89597908,1187254.38033413,1.72868641514524e-05
793874.89597908,1187201.37082719,1.83772141616044e-05
793874.89597908,1187148.36132025,1.94752848312057e-05
793874.89597908,1187095.35181331,2.05746692908226e-05
793874.89597908,1187042.34230636,2.16686692661342e-05
793874.89597908,1186989.33279942,2.27503756669966e-05
793874.89597908,1186936.32329248,2.38127555610443e-05
793874.89597908,1186883.31378554,2.48487437872445e-05
793874.89597908,1186830.3042786,2.58513373029319e-05
793874.89597908,1186777.29477165,2.68136902528185e-05
793874.89597908,1186724.28526471,2.77292077046516e-05
793874.89597908,1186671.27575777,2.85916360154865e-05
793874.89597908,1186618.26625083,2.93951478745486e-05
793874.89597908,1186565.25674388,3.01344202099533e-05
793874.89597908,1186512.24723694,3.08047033418784e-05
793874.89597908,1186459.23773,3.1401880006332e-05
793874.89597908,1186406.22822306,3.19225131522591e-05
793874.89597908,1186353.21871612,3.23638817198509e-05
793874.89597908,1186300.20920917,3.27240039281186e-05
793874.89597908,1186247.19970223,3.30016479239372e-05
793874.89597908,1186194.19019529,3.31963299614871e-05
793927.901171853,1188155.54195215,4.51436577222097e-06
793927.901171853,1188102.53244521,5.06681699278913e-06
793927.901171853,1188049.52293827,5.67064343141738e-06
793927.901171853,1187996.51343132,6.32804262229579e-06
793927.901171853,1187943.50392438,7.0409131020246e-06
793927.901171853,1187890.49441744,7.81079127977023e-06
793927.901171853,1187837.4849105,8.63878784487024e-06
793927.901171853,1187784.47540356,9.5255251615384e-06
793927.901171853,1187731.46589661,1.04710772353254e-05
793927.901171853,1187678.45638967,1.14749139329758e-05
793927.901171853,1187625.44688273,1.25358511886123e-05
793927.901171853,1187572.43737579,1.36520089280043e-05
793927.901171853,1187519.42786884,1.48207783839708e-05
793927.901171853,1187466.4183619,1.60388003567678e-05
793927.901171853,1187413.40885496,1.73019557928401e-05
793927.901171853,1187360.39934802,1.86053698155844e-05
793927.901171853,1187307.38984108,1.99434300474261e-05
793927.901171853,1187254.38033413,2.13098197208162e-05
793927.901171853,1187201.37082719,2.26975656967783e-05
793927.901171853,1187148.36132025,2.40991011052792e-05
793927.901171853,1187095.35181331,2.5506341905891e-05
793927.901171853,1187042.34230636,2.69107762550768e-05
